ISO3,Name,Sum
AB9,Abyei Area,0
AFG,Afghanistan,133508
AGO,Angola,41071
AIA,Anguilla,500
ALB,Albania,11228
ARE,United Arab Emirates,845
ARG,Argentina,114267
ASM,American Samoa,0
ATG,Antigua and Barbuda,1423
AUS,Australia,53786
AUT,Austria,1254
AZE,Azerbaijan,0
BDI,Burundi,33085
BEL,Belgium,0
BEN,Benin,19944
BFA,Burkina Faso,31547
BGD,Bangladesh,3793757
BGR,Bulgaria,3163
BHS,Bahamas,7907
BIH,Bosnia and Herzegovina,90941
BLZ,Belize,3878
BMU,Bermuda,0
BOL,Bolivia,216254
BRA,Brazil,376469
BRB,Barbados,90
BRN,Brunei Darussalam,145
BTN,Bhutan,3545
BWA,Botswana,5441
CAF,Central African Republic,26850
CAN,Canada,317485
CHE,Switzerland,533
CHL,Chile,2060393
CHN,China,25045657
CIV,Côte d'Ivoire,4578
CMR,Cameroon,24775
COD,Dem. Rep. Congo,291999
COG,Congo,0
COK,Cook Islands,6
COL,Colombia,92354
COM,Comoros,12080
CPV,Cabo Verde,2990
CRI,Costa Rica,17600
CUB,Cuba,2819214
CYM,Cayman Islands,0
CYP,Cyprus,40
CZE,Czech Republic,26438
DEU,Germany,54767
DJI,Djibouti,0
DMA,Dominica,35525
DOM,Dominican Republic,174497
DZA,Algeria,26244
ECU,Ecuador,302369
EGY,Egypt,1120
ERI,Eritrea,102
ESP,Spain,18031
ETH,Ethiopia,996240
FIN,Finland,30
FJI,Fiji,77246
FRA,France,32542
FSM,"Micronesia, Fed. Sts.",6760
GAB,Gabon,1795
GBR,United Kingdom,34274
GEO,Georgia,2879
GHA,Ghana,71099
GIN,Guinea,35608
GMB,Gambia,5911
GNB,Guinea-Bissau,0
GRC,Greece,12276
GRD,Grenada,146
GRL,Greenland,78
GTM,Guatemala,59880
GUF,French Guiana,0
GUM,Guam,0
GUY,Guyana,195
HKG,"Hong Kong, China",3510
HND,Honduras,5396
HRV,Croatia,18874
HTI,Haiti,203856
HUN,Hungary,1643
IDN,Indonesia,3185839
IND,India,12973227
IRL,Ireland,1685
IRN,Iran,246747
IRQ,Iraq,34306
ISL,Iceland,50
ISR,Israel,76110
ITA,Italy,39661
JAM,Jamaica,3553
JOR,Jordan,579
JPN,Japan,2716950
KAZ,Kazakhstan,27508
KEN,Kenya,362476
KGZ,Kyrgyzstan,9265
KHM,Cambodia,327770
KIR,Kiribati,2520
KNA,St. Kitts and Nevis,33
KOR,Korea,16048
LAO,Lao PDR,23499
LBN,Lebanon,1452
LBR,Liberia,11616
LBY,Libya,3000
LCA,St. Lucia,1330
LKA,Sri Lanka,1176956
LSO,Lesotho,2600
LTU,Lithuania,0
LUX,Luxembourg,0
LVA,Latvia,0
MAC,"Macao, China",0
MAF,St. Martin (French part),10582
MAR,Morocco,1690
MDA,Moldova,0
MDG,Madagascar,409308
MDV,Maldives,76
MEX,Mexico,474111
MHL,Marshall Islands,1246
MKD,North Macedonia,1636
MLI,Mali,38773
MMR,Myanmar,2782967
MNE,Montenegro,402
MNG,Mongolia,807
MNP,Northern Mariana Islands,0
MOZ,Mozambique,445167
MRT,Mauritania,7524
MTQ,Martinique,0
MUS,Mauritius,1800
MWI,Malawi,470241
MYS,Malaysia,419812
MYT,Mayotte,0
NAM,Namibia,21447
NCL,New Caledonia,574
NER,Niger,521266
NGA,Nigeria,420581
NIC,Nicaragua,74491
NLD,Netherlands,0
NOR,Norway,1379
NPL,Nepal,3124944
NZL,New Zealand,8689
OMN,Oman,670
PAK,Pakistan,2194101
PAN,Panama,3495
PER,Peru,349194
PHL,Philippines,23488807
PLW,Palau,1500
PNG,Papua New Guinea,24207
POL,Poland,0
PRI,Puerto Rico,86406
PRK,Dem. People's Rep. Korea,194968
PRT,Portugal,7853
PRY,Paraguay,291814
PSE,Palestine,21437
PYF,French Polynesia,1140
REU,Réunion,0
ROU,Romania,3872
RUS,Russia,68185
RUS,Russian Federation,0
RWA,Rwanda,17744
SAU,Saudi Arabia,5080
SDN,Sudan,655775
SEN,Senegal,38120
SLB,Solomon Islands,15403
SLE,Sierra Leone,20253
SLV,El Salvador,5168
SOM,Somalia,1123782
SRB,Serbia,33512
SSD,South Sudan,317849
STP,São Tomé and Principe,0
SUR,Suriname,6300
SVK,Slovak Republic,0
SVK,Slovakia,0
SVN,Slovenia,0
SWE,Sweden,1100
SWZ,Eswatini,0
SXM,Sint Maarten (Dutch part),12706
SYC,Seychelles,1085
SYR,Syria,4618
TCA,Turks and Caicos Islands,110
TCD,Chad,103737
TGO,Togo,5167
THA,Thailand,181205
TJK,Tajikistan,19631
TKL,Tokelau,0
TLS,Timor-Leste,4043
TON,Tonga,8323
TTO,Trinidad and Tobago,229
TUN,Tunisia,1118
TUR,Türkiye,2178
TUV,Tuvalu,5435
TWN,"Taiwan, China",124193
TZA,Tanzania,55010
UGA,Uganda,178489
UKR,Ukraine,726
URY,Uruguay,50904
USA,United States,3078640
UZB,Uzbekistan,0
VCT,St. Vincent and the Grenadines,2683
VEN,Venezuela,47785
VGB,British Virgin Islands,6000
VIR,Virgin Islands,2311
VNM,Viet Nam,1831839
VUT,Vanuatu,79677
WSM,Samoa,1114
XKX,Kosovo,1010
YEM,Yemen,138167
ZAF,South Africa,48065
ZMB,Zambia,34380
ZWE,Zimbabwe,77789
